Customer_ID,Age,Gender,Annual_Income,Spending_Score,Subscription_Type,Purchase_Frequency,Customer_Tenure,Channel,Product_Category
1,58,Male,49180,44,Basic,5,6,In-Store,Automotive
2,38,Male,90341,52,Standard,16,3,In-Store,Clothing
3,58,Female,90341,26,Standard,14,5,In-Store,Automotive
4,38,Male,49180,76,Basic,7,4,In-Store,Electronics
5,38,Female,49180,63,Basic,7,6,Mobile App,Electronics
6,22,Male,116601,78,Standard,15,1,Online,Automotive
7,58,Male,90341,19,Standard,8,8,In-Store,Automotive
8,58,Female,90341,42,Standard,10,8,Online,Automotive
9,58,Female,49180,10,Basic,6,6,In-Store,Books
10,58,Male,90341,45,Standard,1,7,In-Store,Home & Kitchen
11,58,Female,49180,10,Basic,2,7,Online,Automotive
12,22,Female,49180,79,Basic,8,4,Online,Beauty
13,22,Female,49180,94,Basic,14,2,Online,Clothing
14,22,Male,90341,99,Basic,14,2,Online,Home & Kitchen
15,22,Male,116601,85,Standard,15,3,Online,Sports
16,38,Male,116601,73,Premium,3,5,Online,Electronics
17,38,Male,90341,63,Standard,15,4,In-Store,Books
18,22,Female,90341,78,Standard,10,3,Mobile App,Beauty
19,38,Male,90341,64,Standard,16,3,Mobile App,Electronics
20,38,Male,90341,42,Standard,10,6,In-Store,Home & Kitchen
21,58,Female,49180,43,Basic,5,5,Online,Books
22,38,Female,90341,61,Standard,17,6,Online,Beauty
23,58,Male,49180,15,Basic,12,7,Mobile App,Automotive
24,22,Male,49180,95,Basic,8,2,Online,Home & Kitchen
25,38,Male,116601,78,Standard,14,6,In-Store,Home & Kitchen
26,58,Female,116601,10,Standard,11,6,In-Store,Books
27,58,Male,49180,31,Basic,5,9,In-Store,Books
28,58,Male,49180,21,Basic,3,5,In-Store,Home & Kitchen
29,38,Female,49180,44,Basic,1,6,Online,Books
30,38,Female,49180,76,Basic,5,4,Online,Clothing
31,38,Male,90341,57,Basic,11,3,Mobile App,Clothing
32,58,Male,116601,19,Standard,8,7,In-Store,Home & Kitchen
33,22,Male,49180,72,Basic,4,3,Online,Electronics
34,38,Female,90341,66,Standard,10,4,Online,Beauty
35,38,Female,116601,55,Premium,14,4,In-Store,Automotive
36,58,Female,90341,34,Basic,9,6,Mobile App,Electronics
37,38,Female,116601,67,Basic,3,5,In-Store,Electronics
38,22,Male,116601,73,Standard,15,1,Mobile App,Electronics
39,38,Female,49180,53,Basic,2,4,In-Store,Sports
40,22,Female,116601,92,Basic,10,4,Online,Beauty
41,22,Male,49180,92,Basic,4,3,In-Store,Clothing
42,38,Female,90341,63,Standard,15,5,Mobile App,Home & Kitchen
43,22,Male,90341,76,Standard,14,1,Online,Home & Kitchen
44,22,Female,90341,73,Standard,15,2,Online,Toys
45,38,Female,49180,72,Basic,5,4,Online,Automotive
46,38,Male,116601,61,Standard,16,5,Online,Clothing
47,38,Female,116601,76,Premium,14,4,In-Store,Home & Kitchen
48,58,Male,116601,32,Standard,14,8,In-Store,Automotive
49,38,Male,90341,66,Standard,19,6,Mobile App,Home & Kitchen
50,38,Female,90341,70,Standard,17,6,In-Store,Books
51,22,Male,116601,86,Basic,12,2,Online,Beauty
52,38,Female,116601,63,Premium,13,6,Online,Home & Kitchen
53,58,Female,90341,17,Standard,8,8,In-Store,Electronics
54,22,Male,90341,83,Basic,9,1,Online,Automotive
55,58,Female,90341,46,Standard,12,6,In-Store,Clothing
56,22,Male,90341,99,Standard,13,1,In-Store,Toys
57,38,Male,116601,67,Premium,2,5,Online,Beauty
58,38,Male,90341,78,Standard,13,4,In-Store,Toys
59,22,Female,49180,90,Basic,7,4,Online,Clothing
60,38,Female,90341,64,Standard,16,6,In-Store,Electronics
61,38,Male,116601,52,Premium,10,6,Online,Beauty
62,38,Male,90341,59,Standard,10,6,In-Store,Clothing
63,58,Male,90341,47,Standard,14,8,Online,Home & Kitchen
64,22,Female,49180,72,Basic,12,2,Mobile App,Beauty
65,22,Female,90341,73,Basic,7,4,In-Store,Beauty
66,38,Male,49180,68,Basic,1,3,Online,Electronics
67,38,Male,116601,48,Premium,2,5,Online,Electronics
68,58,Male,49180,17,Basic,2,9,In-Store,Books
69,58,Male,90341,11,Standard,4,8,In-Store,Sports
70,58,Female,49180,16,Basic,9,9,In-Store,Automotive
71,58,Female,49180,13,Basic,10,9,Online,Home & Kitchen
72,22,Female,116601,79,Premium,17,1,Online,Beauty
73,38,Female,49180,77,Standard,11,6,Online,Automotive
74,22,Female,116601,96,Premium,18,1,Mobile App,Sports
75,22,Female,116601,92,Premium,29,2,Online,Clothing
76,22,Female,90341,73,Standard,17,4,Online,Books
77,22,Female,49180,97,Basic,11,1,In-Store,Books
78,58,Female,49180,16,Premium,2,9,In-Store,Electronics
79,22,Male,49180,93,Basic,13,4,In-Store,Electronics
80,58,Male,90341,16,Standard,7,8,In-Store,Home & Kitchen
81,22,Male,90341,89,Basic,10,3,Online,Automotive
82,22,Female,116601,75,Standard,17,1,Mobile App,Toys
83,38,Female,90341,60,Standard,16,5,In-Store,Home & Kitchen
84,58,Male,90341,15,Standard,13,6,In-Store,Automotive
85,38,Female,49180,67,Premium,9,3,Online,Books
86,58,Male,49180,33,Premium,5,8,In-Store,Automotive
87,22,Female,116601,80,Standard,15,4,Online,Clothing
88,58,Male,90341,13,Standard,8,5,In-Store,Home & Kitchen
89,22,Male,116601,72,Premium,21,2,Online,Clothing
90,22,Female,116601,93,Premium,29,2,Online,Sports
91,38,Male,90341,47,Basic,11,3,Online,Clothing
92,38,Female,116601,46,Premium,5,4,Online,Electronics
93,38,Male,49180,72,Basic,9,4,Online,Home & Kitchen
94,58,Female,90341,29,Standard,8,7,In-Store,Automotive
95,38,Male,49180,58,Basic,1,6,In-Store,Beauty
96,22,Male,90341,70,Basic,2,2,Online,Books
97,38,Female,116601,69,Premium,4,4,Online,Sports
98,38,Female,49180,58,Basic,7,4,Online,Electronics
99,22,Male,49180,78,Standard,10,3,Online,Beauty
100,58,Female,116601,40,Premium,3,7,Online,Home & Kitchen
101,58,Female,116601,19,Premium,4,8,In-Store,Beauty
102,38,Female,90341,52,Basic,13,6,Mobile App,Electronics
103,38,Female,116601,70,Premium,8,6,Mobile App,Clothing
104,22,Male,49180,83,Basic,3,2,Online,Sports
105,58,Female,49180,12,Basic,12,6,In-Store,Home & Kitchen
106,58,Male,90341,28,Standard,12,7,Online,Beauty
107,38,Female,49180,64,Basic,13,5,In-Store,Electronics
108,22,Female,49180,84,Basic,10,4,Online,Beauty
109,22,Female,49180,76,Basic,1,1,Online,Beauty
110,22,Male,49180,84,Premium,17,1,Online,Clothing
111,38,Male,90341,77,Standard,16,4,In-Store,Automotive
112,38,Male,49180,71,Basic,4,5,Mobile App,Clothing
113,58,Female,116601,13,Standard,12,5,In-Store,Home & Kitchen
114,38,Female,116601,48,Premium,8,4,In-Store,Home & Kitchen
115,58,Male,90341,25,Standard,7,9,Mobile App,Beauty
116,38,Male,90341,67,Premium,2,6,Mobile App,Clothing
117,38,Female,49180,65,Basic,1,3,Online,Beauty
118,38,Female,49180,63,Basic,11,5,In-Store,Automotive
119,38,Female,49180,54,Basic,7,5,In-Store,Electronics
120,58,Male,116601,44,Premium,13,8,In-Store,Home & Kitchen
