Period,Instrument Type,Volume (Million) ,Value (RM Million)
20190101,Credit Card,42.1,12519.48454
20190201,Credit Card,35.8,10074.76015
20190301,Credit Card,40.6,11767.31496
20190401,Credit Card,40,11401.62922
20190501,Credit Card,41.9,12102.32398
20190601,Credit Card,40.3,11218.60716
20190701,Credit Card,43.6,12051.38459
20190801,Credit Card,43.3,12020.50859
20190901,Credit Card,43.5,11801.66604
20191001,Credit Card,44.9,12323.50767
20191101,Credit Card,44.8,12513.45836
20191201,Credit Card,49.3,13997.096
20200101,Credit Card,47.5,13130.08986
20200201,Credit Card,41.2,11030.47017
20200301,Credit Card,39.5,9782.156338
20200401,Credit Card,26.4,6174.564848
20200501,Credit Card,33.8,8687.55355
20200601,Credit Card,38.6,10140.0933
20200701,Credit Card,42.9,11305.61018
20200801,Credit Card,43.9,11483.07217
20200901,Credit Card,44.7,11306.45088
20201001,Credit Card,41.5,10487.52446
20201101,Credit Card,41.4,10695.56984
20201201,Credit Card,47.8,12772.28468
20210101,Credit Card,43.1,10948.98108
20210201,Credit Card,38.9,9647.948095
20210301,Credit Card,48.4,12202.7491
20210401,Credit Card,46.7,11697.46913
20210501,Credit Card,44.2,10867.14393
20210601,Credit Card,38.8,8883.631967
20210701,Credit Card,41.8,9563.331316
20210801,Credit Card,44.2,10391.43112
20210901,Credit Card,46.6,11544.0751
20211001,Credit Card,51.6,13187.78302
20211101,Credit Card,53.9,13879.04602
20211201,Credit Card,57.8,15365.99388
20220101,Credit Card,59.5,15157.62902
20220201,Credit Card,48.2,11500.22277
20220301,Credit Card,56.4,13976.19533
20220401,Credit Card,55,14006.69089
20220501,Credit Card,58.6,14422.36796
20220601,Credit Card,58.2,14480.20729
20220701,Credit Card,59.8,14849.02821
20220801,Credit Card,62.7,15344.0434
20220901,Credit Card,61.4,15149.20064
20221001,Credit Card,64.5,15639.04954
20221101,Credit Card,62.4,15393.03102
20221201,Credit Card,68.7,17720.26436
20230101,Credit Card,67.6,16797.99607
20230201,Credit Card,58.7,14709.50519
20230301,Credit Card,66.8,16671.39329
20230401,Credit Card,63.6,15506.08336
20230501,Credit Card,67.9,16274.68587
20230601,Credit Card,66.8,15865.39423
20230701,Credit Card,66.8,15920.65001
20230801,Credit Card,71,16927.34233
20230901,Credit Card,71.3,16757.07747
20231001,Credit Card,74,17565.53566
20231101,Credit Card,72.8,17564.30373
20231201,Credit Card,78,19328.99801
20240101,Credit Card,77.9,18830.76186
20240201,Credit Card,70.7,17251.64623
20240301,Credit Card,74,17832.56937
20240401,Credit Card,70.5,16772.82005
20240501,Credit Card,75.5,17707.91138
20240601,Credit Card,73.8,17129.1503
20240701,Credit Card,77.6,17712.3537
20240801,Credit Card,78.8,17776.21949
20240901,Credit Card,79.6,17937.69052
20241001,Credit Card,81.1,18497.39108
20241101,Credit Card,80.1,18246.77608
20241201,Credit Card,88.4,20544.11386
20250101,Credit Card,86.6,20118.86373
20190101,Charge Card,0.471321,1189.025031
20190201,Charge Card,0.410832,974.37022
20190301,Charge Card,0.518377,1182.325592
20190401,Charge Card,0.639428,1124.985143
20190501,Charge Card,0.538091,1115.117093
20190601,Charge Card,0.495627,1013.184658
20190701,Charge Card,0.562058,1103.860458
20190801,Charge Card,0.548217,1155.84533
20190901,Charge Card,0.511599,1101.411639
20191001,Charge Card,0.539955,1120.30406
20191101,Charge Card,0.518277,1046.6542
20191201,Charge Card,0.471263,1006.467078
20200101,Charge Card,0.455313,1048.63963
20200201,Charge Card,0.402435,919.212824
20200301,Charge Card,0.299451,881.820083
20200401,Charge Card,0.152977,725.828761
20200501,Charge Card,0.189924,747.062796
20200601,Charge Card,0.226687,753.026607
20200701,Charge Card,0.280129,842.866686
20200801,Charge Card,0.26849,870.129242
20200901,Charge Card,0.283498,899.45965
20201001,Charge Card,0.25764,871.864127
20201101,Charge Card,0.244602,826.688633
20201201,Charge Card,0.282529,866.03508
20210101,Charge Card,0.251642,951.909604
20210201,Charge Card,0.221539,774.687877
20210301,Charge Card,0.283035,970.928944
20210401,Charge Card,0.275623,925.623948
20210501,Charge Card,0.244725,842.121464
20210601,Charge Card,0.229939,854.313623
20210701,Charge Card,0.260649,843.06911
20210801,Charge Card,0.300444,896.7669
20210901,Charge Card,0.309367,940.051639
20211001,Charge Card,0.335736,962.173072
20211101,Charge Card,0.355554,995.288166
20211201,Charge Card,0.371993,977.953999
20220101,Charge Card,0.36967,1113.007003
20220201,Charge Card,0.33564,955.102911
20220301,Charge Card,0.422587,1096.087299
20220401,Charge Card,0.451247,1193.534302
20220501,Charge Card,0.458463,1078.790668
20220601,Charge Card,0.509443,1212.835042
20220701,Charge Card,0.477461,1174.39264
20220801,Charge Card,0.504474,1297.268586
20220901,Charge Card,0.447735,1201.890839
20221001,Charge Card,0.454239,1241.564997
20221101,Charge Card,0.468505,1239.196776
20221201,Charge Card,0.451754,1221.712988
20230101,Charge Card,0.424773,1322.65077
20230201,Charge Card,0.447898,1255.95864
20230301,Charge Card,0.522982,1405.626918
20230401,Charge Card,0.440472,1253.969262
20230501,Charge Card,0.516078,1347.067113
20230601,Charge Card,0.482895,1275.462621
20230701,Charge Card,0.494444,1287.737652
20230801,Charge Card,0.530666,1398.22995
20230901,Charge Card,0.513052,1325.438299
20231001,Charge Card,0.55335,1384.369332
20231101,Charge Card,0.54831,1390.223913
20231201,Charge Card,0.523597,1319.649719
20240101,Charge Card,0.568938,1467.244114
20240201,Charge Card,0.517414,1333.250621
20240301,Charge Card,0.580959,1391.896562
20240401,Charge Card,0.547439,1279.528797
20240501,Charge Card,0.61884,1354.531249
20240601,Charge Card,0.586389,1346.142313
20240701,Charge Card,0.632207,1406.391624
